Period,Data_value
1978/03,1000
1979/03,947
1980/03,1054
1981/03,1167
1982/03,1144
1983/03,1164
1984/03,1084
1985/03,1117
1986/03,1334
1987/03,1329
1988/03,1487
1989/03,1452
1990/03,1357
1991/03,1568
1992/03,1547
1993/03,1331
1994/03,1539
1995/03,1502
1996/03,1579
1997/03,1693
1998/03,1703
1999/03,1619
2000/03,1669
2001/03,1700
2002/03,1635
2003/03,1595
2004/03,1745
2005/03,1669
2006/03,1731
2007/03,1777
2008/03,1457
2009/03,1577
2010/03,1579
2011/03,1450
2012/03,1621
2013/03,1688
2014/03,1636
2015/03,1709
2016/03,1733
2017/03,1741
2018/03,1731